H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,100,Bulgaria,BGR,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,46553,,,,46553,,32704,,,0
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,104,Myanmar,MMR,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,12000,,,,12000,,9001,,,0
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,112,Belarus,BLR,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,40,,,,40,,287,,,0
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,124,Canada,CAN,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,21990,,,,21990,,37721,,,0
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,246,Finland,FIN,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,2150,,,,2150,,557,,,0
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,300,Greece,GRC,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,48,,,,48,,53,,,0
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,304,Greenland,GRL,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,11,,,,11,,343,,,0
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,440,Lithuania,LTU,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,19800,,,,19800,,14220,,,0
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,498,Rep. of Moldova,MDA,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,1980,,,,1980,,1496,,,0
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,579,Norway,NOR,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,651,,,,651,,247,,,0
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,642,Romania,ROU,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,24,,,,24,,26,,,0
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,724,Spain,ESP,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,5000,,,,5000,,3352,,,0
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,752,Sweden,SWE,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,75,,,,75,,35,,,0
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,764,Thailand,THA,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,75484,,,,75484,,54323,,,0
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,807,North Macedonia,MKD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,29850,,,,29850,,34216,,,0
